ano,customer_state,faturamento_estado
2016,SP,16885.54
2016,RJ,13407.58
2016,MG,5642.97
2016,RS,4790.70
2016,SC,2730.42
2016,PR,2599.97
2016,CE,2011.77
2016,PE,1688.49
2016,PA,1283.09
2016,GO,1223.06
2016,DF,1200.11
2016,ES,1067.14
2016,MA,998.85
2016,BA,995.34
2016,MT,954.07
2016,RN,881.34
2016,SE,345.92
2016,PI,246.09
2016,RR,205.25
2016,AL,129.90
2016,PB,74.74
2017,SP,2561862.91
2017,RJ,1055954.48
2017,MG,854891.64
2017,RS,424693.30
2017,PR,353782.25
2017,BA,284324.38
2017,SC,277452.28
2017,GO,164005.35
2017,DF,157089.83
2017,PE,153281.89
2017,ES,143116.93
2017,CE,137598.15
2017,PA,110203.46
2017,MT,90866.33
2017,MA,76470.56
2017,PB,63346.30
2017,MS,62255.18
2017,AL,52294.67
2017,PI,45093.27
2017,RN,44650.87
2017,SE,40833.80
2017,RO,31483.72
2017,TO,28827.94
2017,AM,13031.61
2017,AC,12997.52
2017,AP,7331.53
2017,RR,2006.58
2018,SP,3419478.51
2018,RJ,1075017.63
2018,MG,1011722.65
2018,RS,461414.54
2018,PR,454774.16
2018,SC,342903.73
2018,BA,331326.10
2018,DF,196851.14
2018,GO,184863.90
2018,ES,181783.48
2018,PE,169880.06
2018,CE,139854.11
2018,PA,106809.30
2018,MT,95208.89
2018,PB,78124.68
2018,MS,75279.66
2018,MA,75053.61
2018,PI,63184.61
2018,RN,57185.92
2018,AL,44537.49
2018,SE,34066.53
2018,TO,32657.39
2018,RO,29382.48
2018,AM,14935.32
2018,AP,8931.27
2018,RR,7852.79
2018,AC,6683.10
